Processing Activity,Controller,Processor,Data Categories,Data Subjects,Purpose,Legal Basis,Recipients,Transfer Outside EEA,Retention,Security Measures
User Authentication,ORCA Platform Inc.,Supabase Inc.,"Email, Name, Password Hash",Platform Users,Account creation and login,Consent / Contract,None,Yes (US - Standard Contractual Clauses),Account lifetime + 30 days,"Encryption at rest/transit, RBAC, MFA"
API Key Management,ORCA Platform Inc.,Supabase Inc.,"API Keys, Tenant IDs",Platform Users & Integrations,Machine-to-machine authentication,Legitimate Interest,None,Yes (US - Standard Contractual Clauses),Until revoked + 90 days,"HMAC signatures, Encryption, Rate limiting"
Workflow Execution,ORCA Platform Inc.,"Supabase Inc., n8n, Zapier","Workflow configs, Agent states",Platform Users,Automation service delivery,Contract,Integration partners (as configured),Yes (per integration),3 years after deletion,"Tenant isolation, Encryption, Audit logs"
UADSI Report Generation,ORCA Platform Inc.,Supabase Inc.,"KPIs, Trust scores, Metrics",Platform Users,Analytics and reporting,Contract,Report recipients (user-defined),No (unless shared externally),7 years (audit/compliance),"Encryption, Signed URLs, RBAC"
Audit Logging,ORCA Platform Inc.,"AWS (CloudWatch), Supabase Inc.","User actions, System events, IP addresses",Platform Users & Admins,Security monitoring and compliance,Legal Obligation,Internal only,Yes (US - Standard Contractual Clauses),7 years,"Tamper-proof logs, Encryption, Admin-only access"
Payment Processing,ORCA Platform Inc.,Stripe Inc.,"Billing email, Payment methods (tokenized)",Platform Users,Subscription billing,Contract,Stripe (PCI DSS Level 1),Yes (US - Adequate safeguards),7 years (tax),"No card data stored, PCI-compliant processor"
Usage Analytics,ORCA Platform Inc.,"Prometheus, TimescaleDB (self-hosted)","Anonymized metrics, Aggregated usage",Platform Users (pseudonymized),Service improvement and capacity planning,Legitimate Interest,Internal only,No,2 years,"Aggregation, Pseudonymization, RBAC"
Error Tracking,ORCA Platform Inc.,"Sentry, AWS CloudWatch","Error traces (PII-redacted), Stack traces",Platform Users (pseudonymized),Debugging and service reliability,Legitimate Interest,Internal only,Yes (US - Standard Contractual Clauses),30 days,"PII redaction, Encryption, Sampling"
Email Communications,ORCA Platform Inc.,"SendGrid, Resend","Email addresses, Names",Platform Users,Transactional emails and notifications,Contract / Consent,Email service providers,Yes (US - Standard Contractual Clauses),90 days after send,"TLS encryption, Unsubscribe links"
Support Tickets,ORCA Platform Inc.,Zendesk Inc.,"Email, Name, Issue details",Platform Users,Customer support,Contract,Zendesk agents,Yes (US - Standard Contractual Clauses),3 years after resolution,"Encryption, Role-based access, SLA compliance"
Backup & Disaster Recovery,ORCA Platform Inc.,"AWS S3, Supabase Inc.",All operational data,Platform Users,Business continuity and data recovery,Legitimate Interest,Internal only,Yes (US - Standard Contractual Clauses),90 days (backups),"Encrypted backups, Versioning, Access controls"
Chaos Testing,ORCA Platform Inc.,Internal,"Synthetic test data, System metrics",N/A (synthetic),Reliability testing,Legitimate Interest,Internal only,No,30 days,"Isolated test environments, No production PII"
